make,fuel_type,aspiration,number_of_doors,body_style,drive_wheels,number_of_cylinders,engine_location,wheel_base,length,width,height,curb_weight,engine_size,horsepower,peak_rpm,city_mpg,highway_mpg,price
alfa-romero,gas,std,two,convertible,rwd,four,front,88.6,168.8,64.1,48.8,2548,130,111,5000,21,27,13495
alfa-romero,gas,std,two,convertible,rwd,four,front,88.6,168.8,64.1,48.8,2548,130,111,5000,21,27,16500
alfa-romero,gas,std,two,hatchback,rwd,six,front,94.5,171.2,65.5,52.4,2823,152,154,5000,19,26,16500
audi,gas,std,four,sedan,fwd,four,front,99.8,176.6,66.2,54.3,2337,109,102,5500,24,30,13950
audi,gas,std,four,sedan,4wd,five,front,99.4,176.6,66.4,54.3,2824,136,115,5500,18,22,17450
audi,gas,std,two,sedan,fwd,five,front,99.8,177.3,66.3,53.1,2507,136,110,5500,19,25,15250
audi,gas,std,four,sedan,fwd,five,front,105.8,192.7,71.4,55.7,2844,136,110,5500,19,25,17710
audi,gas,std,four,wagon,fwd,five,front,105.8,192.7,71.4,55.7,2954,136,110,5500,19,25,18920
audi,gas,turbo,four,sedan,fwd,five,front,105.8,192.7,71.4,55.9,3086,131,140,5500,17,20,23875
bmw,gas,std,two,sedan,rwd,four,front,101.2,176.8,64.8,54.3,2395,108,101,5800,23,29,16430
bmw,gas,std,four,sedan,rwd,four,front,101.2,176.8,64.8,54.3,2395,108,101,5800,23,29,16925
bmw,gas,std,two,sedan,rwd,six,front,101.2,176.8,64.8,54.3,2710,164,121,4250,21,28,20970
bmw,gas,std,four,sedan,rwd,six,front,101.2,176.8,64.8,54.3,2765,164,121,4250,21,28,21105
bmw,gas,std,four,sedan,rwd,six,front,103.5,189,66.9,55.7,3055,164,121,4250,20,25,24565
bmw,gas,std,four,sedan,rwd,six,front,103.5,189,66.9,55.7,3230,209,182,5400,16,22,30760
bmw,gas,std,two,sedan,rwd,six,front,103.5,193.8,67.9,53.7,3380,209,182,5400,16,22,41315
bmw,gas,std,four,sedan,rwd,six,front,110,197,70.9,56.3,3505,209,182,5400,15,20,36880
chevrolet,gas,std,two,hatchback,fwd,three,front,88.4,141.1,60.3,53.2,1488,61,48,5100,47,53,5151
chevrolet,gas,std,two,hatchback,fwd,four,front,94.5,155.9,63.6,52,1874,90,70,5400,38,43,6295
chevrolet,gas,std,four,sedan,fwd,four,front,94.5,158.8,63.6,52,1909,90,70,5400,38,43,6575
dodge,gas,std,two,hatchback,fwd,four,front,93.7,157.3,63.8,50.8,1876,90,68,5500,37,41,5572
dodge,gas,std,two,hatchback,fwd,four,front,93.7,157.3,63.8,50.8,1876,90,68,5500,31,38,6377
dodge,gas,turbo,two,hatchback,fwd,four,front,93.7,157.3,63.8,50.8,2128,98,102,5500,24,30,7957
dodge,gas,std,four,hatchback,fwd,four,front,93.7,157.3,63.8,50.6,1967,90,68,5500,31,38,6229
dodge,gas,std,four,sedan,fwd,four,front,93.7,157.3,63.8,50.6,1989,90,68,5500,31,38,6692
dodge,gas,std,four,sedan,fwd,four,front,93.7,157.3,63.8,50.6,1989,90,68,5500,31,38,7609
dodge,gas,turbo,two,sedan,fwd,four,front,93.7,157.3,63.8,50.6,2191,98,102,5500,24,30,8558
dodge,gas,std,four,wagon,fwd,four,front,103.3,174.6,64.6,59.8,2535,122,88,5000,24,30,8921
dodge,gas,turbo,two,hatchback,fwd,four,front,95.9,173.2,66.3,50.2,2811,156,145,5000,19,24,12964
honda,gas,std,two,hatchback,fwd,four,front,86.6,144.6,63.9,50.8,1713,92,58,4800,49,54,6479
honda,gas,std,two,hatchback,fwd,four,front,86.6,144.6,63.9,50.8,1819,92,76,6000,31,38,6855
honda,gas,std,two,hatchback,fwd,four,front,93.7,150,64,52.6,1837,79,60,5500,38,42,5399
honda,gas,std,two,hatchback,fwd,four,front,93.7,150,64,52.6,1940,92,76,6000,30,34,6529
honda,gas,std,two,hatchback,fwd,four,front,93.7,150,64,52.6,1956,92,76,6000,30,34,7129
honda,gas,std,four,sedan,fwd,four,front,96.5,163.4,64,54.5,2010,92,76,6000,30,34,7295
honda,gas,std,four,wagon,fwd,four,front,96.5,157.1,63.9,58.3,2024,92,76,6000,30,34,7295
honda,gas,std,two,hatchback,fwd,four,front,96.5,167.5,65.2,53.3,2236,110,86,5800,27,33,7895
